RVA,label,comment
000873A0,_nmalloc_,_nmalloc_
00087490,memset_,memset_
00088420,_dos_getdrive_,_dos_getdrive_
00088451,_dos_getdiskfree_,_dos_getdiskfree_
000889C9,mem_putc_,mem_putc_
000889DC,vsprintf_,vsprintf_
000889F1,strchr_,strchr_
0008A940,abs_,abs_
0008A947,toupper_,toupper_
0008C9E8,strupr_,strupr_
0008CA0D,strstr_,strstr_
0008CACB,strnicmp_,strnicmp_
0008CB4B,strrev_,strrev_
0008CB82,_dos_findfirst_,_dos_findfirst_
0008CBF2,_dos_findnext_,_dos_findnext_
0008CC3A,_dos_findclose_,_dos_findclose_
0008D690,strcmp_,strcmp_
0008D74A,byteswap_,byteswap_
0008D770,med3_,med3_
0008D7C8,qsort_,qsort_
0008DC01,copypart_,copypart_
0008DC37,_splitpath_,_splitpath_
0008DD10,atoi_,atoi_
0008F7D2,cget_string_,cget_string_
0008F7FB,uncget_string_,uncget_string_
0008F7FF,vsscanf_,vsscanf_
0008F826,sscanf_,sscanf_
0008F847,memicmp_,memicmp_
0008FA27,strcspn_,strcspn_
0008FAF6,getcwd_,getcwd_
0008FB6F,_dos_setdrive_,_dos_setdrive_
0008FBBA,start,start
00096AC8,__wcpp_2_ts_size__,__wcpp_2_ts_size__
00096B0C,__wcpp_2_base_register__,__wcpp_2_base_register__
00096B25,__wcpp_2_base_deregister__,__wcpp_2_base_deregister__
00096B34,__wcpp_2_ctor_varray__,__wcpp_2_ctor_varray__
00096BA9,nullsub_2,nullsub_2
00096BC9,nullsub_3,nullsub_3
00096C7F,__EnterWVIDEO_,__EnterWVIDEO_
00096CA5,__exit_with_msg_,__exit_with_msg_
00096CDC,__fatal_runtime_error_,__fatal_runtime_error_
00096CFC,__wcpp_2_stab_entry__,__wcpp_2_stab_entry__
00096D2A,__wcpp_2_stab_trav_init__,__wcpp_2_stab_trav_init__
00096D4B,__wcpp_2_stab_trav_comp__,__wcpp_2_stab_trav_comp__
00096D50,__wcpp_2_stab_trav_next__,__wcpp_2_stab_trav_next__
00096DD5,__wcpp_2_stab_trav_move__,__wcpp_2_stab_trav_move__
00096E68,W?callTerminate$n(pn$thread_ctl$$)v,W?callTerminate$n(pn$thread_ctl$$)v
00096E7F,__wcpp_2_corrupted_stack__,__wcpp_2_corrupted_stack__
00096E90,W?typesigIndex$n(pn$dispatch_exc$$uipnpn$rt_type_sig$$)ui,W?typesigIndex$n(pn$dispatch_exc$$uipnpn$rt_type_sig$$)ui
00096F2C,W?dispatchableFnExc$n(pn$dispatch_exc$$pn$__iaap9DTOR_CMD$$)i,W?dispatchableFnExc$n(pn$dispatch_exc$$pn$__iaap9DTOR_CMD$$)i
00096F53,W?fneDispatch$n(pn$dispatch_exc$$)v,W?fneDispatch$n(pn$dispatch_exc$$)v
00096F69,W?dispatchableCatch$n(pn$dispatch_exc$$pn$__iaap9DTOR_CMD$$)i,W?dispatchableCatch$n(pn$dispatch_exc$$pn$__iaap9DTOR_CMD$$)i
00096F8F,W?throwCnvSig$n(pn$dispatch_exc$$)pn$rt_type_sig$$,W?throwCnvSig$n(pn$dispatch_exc$$)pn$rt_type_sig$$
00096F9D,W?excToBePopped$n(pn$thread_ctl$$)i,W?excToBePopped$n(pn$thread_ctl$$)i
00097040,W?catchDispatch$n(pn$dispatch_exc$$)v,W?catchDispatch$n(pn$dispatch_exc$$)v
0009717E,W?catchDone$n(pn$thread_ctl$$pn$active_exc$$)v,W?catchDone$n(pn$thread_ctl$$pn$active_exc$$)v
000971BB,__wcpp_2_catch_done__,__wcpp_2_catch_done__
000971DC,W?unwindExc$n(pn$dispatch_exc$$)v,W?unwindExc$n(pn$dispatch_exc$$)v
00097201,W?unwindStack$n(pn$dispatch_exc$$)v,W?unwindStack$n(pn$dispatch_exc$$)v
00097257,W?dispatchable$n(pn$dispatch_exc$$pn$rw_dtreg$$)$$TE$$,W?dispatchable$n(pn$dispatch_exc$$pn$rw_dtreg$$)$$TE$$
00097358,W?getActiveExc$n(pn$thread_ctl$$)pn$active_exc$$,W?getActiveExc$n(pn$thread_ctl$$)pn$active_exc$$
000973DC,W?dispatch_init$n(pn$dispatch_exc$$pn$throw_ro$$i)v,W?dispatch_init$n(pn$dispatch_exc$$pn$throw_ro$$i)v
00097415,__wcpp_2_dispatchable__,__wcpp_2_dispatchable__
0009746E,__wcpp_2_save_exc__,__wcpp_2_save_exc__
000974EC,__wcpp_2_dispatch__,__wcpp_2_dispatch__
0009759D,W?processThrow$n(pnvpn$throw_ro$$i)v,W?processThrow$n(pnvpn$throw_ro$$i)v
000975E4,__wcpp_2_rethrow__,__wcpp_2_rethrow__
000975F4,__wcpp_2_throw__,__wcpp_2_throw__
000975FE,__wcpp_2_throw_zero__,__wcpp_2_throw_zero__
00097606,W?longjmpExcPop$n(pn$dispatch_exc$$pn$rw_dtreg$$)v,W?longjmpExcPop$n(pn$dispatch_exc$$pn$rw_dtreg$$)v
00097651,W?longjmpDtoring$n(pfv)v,W?longjmpDtoring$n(pfv)v
000976F1,W?longjmpInit$n()v,W?longjmpInit$n()v
00097A5F,HandlerRoutine,HandlerRoutine
00097CF1,nullsub_4,nullsub_4
00098194,__InitAccessH__0,__InitAccessH__0
0009831E,nullSema4Rtn_,nullSema4Rtn_
0009831F,__CloseSemaphore_,__CloseSemaphore_
0009834B,__AccessIOB_,__AccessIOB_
00098355,__ReleaseIOB_,__ReleaseIOB_
0009835F,__AccessFileH_,__AccessFileH_
0009836C,__ReleaseFileH_,__ReleaseFileH_
0009837C,__InitAccessH_,__InitAccessH_
00098381,__FiniAccessH_,__FiniAccessH_
0009839D,__AccessNHeap_,__AccessNHeap_
000983A4,__ReleaseNHeap_,__ReleaseNHeap_
000983AE,__AccessFHeap_,__AccessFHeap_
000983B5,__ReleaseFHeap_,__ReleaseFHeap_
000983BF,__AccessTDList_,__AccessTDList_
000983C6,__ReleaseTDList_,__ReleaseTDList_
000983CD,__AccessFList_,__AccessFList_
000983D2,__AccessSemaphore_,__AccessSemaphore_
0009842F,__ReleaseFList_,__ReleaseFList_
